realtime,sleep_stage,motor,locomotion,grooming,nestgrooming,nestactivity,rearing,drinking,eating,nesting
2022-09-25 01:36:32.475,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:32.996,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:33.515,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:34.035,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:34.555,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:35.075,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:35.596,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:36.115,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:36.635,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:37.156,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:37.675,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:38.195,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:38.715,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:39.235,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:39.756,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:40.275,NR,0,0,0,0,0,0,0,0,0
2022-09-25 01:36:40.795,NR,0,0,0,0,0,0,0,0,0
